round,round_id,group,date,home_team,away_team,home_score,away_score,winner,is_knockout,played,match_uid,event_id,status,home_score_ht,away_score_ht,et_home,et_away,pens_home,pens_away,is_neutral_ground
Round of 16,R16,,2026-07-07,W85,W87,,,,True,False,KO|W85|W87,8382,notstarted,,,,,,,False
Round of 16,R16,,2026-07-07,W86,W88,,,,True,False,KO|W86|W88,8381,notstarted,,,,,,,False
Round of 16,R16,,2026-07-07,W81,W82,,,,True,False,KO|W81|W82,8380,notstarted,,,,,,,False
Quarterfinals,QF,,2026-07-09,W89,W90,,,,True,False,KO|W89|W90,8383,notstarted,,,,,,,False
Quarterfinals,QF,,2026-07-10,W93,W94,,,,True,False,KO|W93|W94,8384,notstarted,,,,,,,False
Quarterfinals,QF,,2026-07-11,W91,W92,,,,True,False,KO|W91|W92,8385,notstarted,,,,,,,False
Quarterfinals,QF,,2026-07-12,W95,W96,,,,True,False,KO|W95|W96,8386,notstarted,,,,,,,False
Semifinals,SF,,2026-07-14,W97,W98,,,,True,False,KO|W97|W98,8387,notstarted,,,,,,,False
Semifinals,SF,,2026-07-15,W99,W100,,,,True,False,KO|W100|W99,8388,notstarted,,,,,,,False
Match for 3rd place,BRONZE,,2026-07-18,L101,L102,,,,True,False,KO|L101|L102,8389,notstarted,,,,,,,False
Final,FINAL,,2026-07-19,W101,W102,,,,True,False,KO|W101|W102,8390,notstarted,,,,,,,False
