date,home_team,away_team,home_score,away_score,tournament,country,neutral,home_elo,away_elo
2018-01-02,Iraq,United Arab Emirates,0,0,Gulf Cup,Kuwait,True,1572.0,1564.0
2018-01-07,Estonia,Sweden,1,1,Friendly,United Arab Emirates,True,1513.0,1816.0
2018-01-11,Finland,Jordan,2,1,Friendly,United Arab Emirates,True,1601.0,1475.0
2018-01-27,South Korea,Moldova,1,0,Friendly,Turkey,True,1762.0,1328.0
2018-01-30,Jamaica,South Korea,2,2,Friendly,Turkey,True,1569.0,1757.0
2018-01-31,Mexico,Bosnia and Herzegovina,1,0,Friendly,United States,True,1854.0,1720.0
2018-02-03,South Korea,Latvia,1,0,Friendly,Turkey,True,1759.0,1360.0
2018-03-21,Angola,South Africa,1,1,Friendly tournament,Zambia,True,1250.0,1530.0
2018-03-23,Japan,Mali,1,1,Friendly,Belgium,True,1701.0,1516.0
2018-03-23,Saudi Arabia,Ukraine,1,1,Friendly,Spain,True,1566.0,1733.0
2018-03-23,Senegal,Uzbekistan,1,1,Friendly,Morocco,True,1742.0,1615.0
2018-03-23,Portugal,Egypt,2,1,Friendly,Switzerland,True,1995.0,1648.0
2018-03-23,Morocco,Serbia,2,1,Friendly,Italy,True,1701.0,1770.0
2018-03-23,Mexico,Iceland,3,0,Friendly,United States,True,1869.0,1798.0
2018-03-23,Uruguay,Czechia,2,0,Friendly tournament,China,True,1879.0,1699.0
2018-03-23,Argentina,Italy,2,0,Friendly,England,True,1996.0,1893.0
2018-03-23,Peru,Croatia,2,0,Friendly,United States,True,1895.0,1842.0
2018-03-24,Ivory Coast,Togo,2,2,Friendly,France,True,1595.0,1385.0
2018-03-24,Canada,New Zealand,1,0,Friendly,Spain,True,1533.0,1514.0
2018-03-24,Qatar,Syria,2,2,Friendly tournament,Iraq,True,1484.0,1606.0
2018-03-26,Uruguay,Wales,1,0,Friendly tournament,China,True,1890.0,1776.0
2018-03-26,Netherlands,Portugal,3,0,Friendly,Switzerland,True,1906.0,1972.0
2018-03-27,Ukraine,Japan,2,1,Friendly,Belgium,True,1742.0,1692.0
2018-03-27,Australia,Colombia,0,0,Friendly,England,True,1715.0,1934.0
2018-03-27,Iran,Algeria,2,1,Friendly,Austria,True,1794.0,1535.0
2018-03-27,Greece,Egypt,1,0,Friendly,Switzerland,True,1663.0,1638.0
2018-03-27,Tunisia,Costa Rica,1,0,Friendly,France,True,1644.0,1743.0
2018-03-27,Ivory Coast,Moldova,2,1,Friendly,France,True,1599.0,1322.0
2018-03-27,Bosnia and Herzegovina,Senegal,0,0,Friendly,France,True,1730.0,1742.0
2018-03-27,Croatia,Mexico,1,0,Friendly,United States,True,1853.0,1858.0
2018-05-09,Saudi Arabia,Algeria,2,0,Friendly,Spain,True,1578.0,1521.0
2018-05-15,Saudi Arabia,Greece,2,0,Friendly,Spain,True,1597.0,1644.0
2018-05-28,Italy,Saudi Arabia,2,1,Friendly,Switzerland,True,1900.0,1594.0
2018-05-28,Mexico,Wales,0,0,Friendly,United States,True,1856.0,1778.0
2018-05-31,Morocco,Ukraine,0,0,Friendly,Switzerland,True,1710.0,1741.0
2018-06-01,Australia,Czechia,4,0,Friendly,Austria,True,1734.0,1702.0
2018-06-01,Colombia,Egypt,0,0,Friendly,Italy,True,1927.0,1642.0
2018-06-01,Tunisia,Turkey,2,2,Friendly,Switzerland,True,1654.0,1726.0
2018-06-02,Kenya,New Zealand,2,1,Friendly tournament,India,True,1385.0,1493.0
2018-06-03,Peru,Saudi Arabia,3,0,Friendly,Switzerland,True,1916.0,1589.0
2018-06-03,Andorra,Cape Verde,0,0,Friendly,Portugal,True,1038.0,1427.0
2018-06-03,Brazil,Croatia,2,0,Friendly,England,True,2135.0,1848.0
2018-06-04,Morocco,Slovakia,2,1,Friendly,Switzerland,True,1721.0,1751.0
2018-06-05,New Zealand,Taiwan,1,0,Friendly tournament,India,True,1495.0,984.0
2018-06-06,Czechia,Nigeria,1,0,Friendly,Austria,True,1712.0,1681.0
2018-06-07,Bolivia,South Korea,0,0,Friendly,Austria,True,1674.0,1728.0
2018-06-08,Iran,Lithuania,1,0,Friendly,Russia,True,1790.0,1392.0
2018-06-09,Spain,Tunisia,1,0,Friendly,Russia,True,2043.0,1652.0
2018-06-11,Senegal,South Korea,2,0,Friendly,Austria,True,1745.0,1713.0
2018-06-12,Japan,Paraguay,4,2,Friendly,Austria,True,1684.0,1727.0
2018-06-14,Russia,Saudi Arabia,5,0,World Cup,Russia,False,1706.0,1558.0
2018-06-15,Iran,Morocco,1,0,World Cup,Russia,True,1815.0,1706.0
2018-06-15,Uruguay,Egypt,1,0,World Cup,Russia,True,1904.0,1628.0
2018-06-15,Portugal,Spain,3,3,World Cup,Russia,True,1973.0,2037.0
2018-06-16,Argentina,Iceland,1,1,World Cup,Russia,True,1968.0,1781.0
2018-06-16,France,Australia,2,1,World Cup,Russia,True,1998.0,1731.0
2018-06-16,Croatia,Nigeria,2,0,World Cup,Russia,True,1877.0,1657.0
